Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_8,Day42,4.105949,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day49,5.308673,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day56,4.279164,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day63,6.260236,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day70,5.430827,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day77,5.000824,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day84,7.497491,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day125,2.166065,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day139,2.062633,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day7,0.046214,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day14,0.473119,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day21,0.602423,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day28,8.464193,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day35,8.306277,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day42,8.030838,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day49,7.82089,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day56,6.639122,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day63,6.465627,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day70,6.44288,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day77,8.29011,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day84,6.052839,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day125,2.174773,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_9,Day139,1.545655,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day7,0.150518,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day14,1.036662,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day21,0.744229,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day28,5.800892,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day35,6.590235,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day42,7.996136,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day49,8.419632,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day56,28.04081,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day63,8.780947,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day70,7.794261,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day77,5.887322,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day84,8.967213,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day125,4.241291,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_10,Day139,3.009411,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_11,Day7,0.216479,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day14,4.677015,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day21,2.040569,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day28,10.29631,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day35,10.35004,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day42,9.315298,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day49,12.76299,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day56,7.831457,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day63,9.458874,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day70,9.88883,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day77,8.330437,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day84,16.38431,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day125,4.304096,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_11,Day139,5.73265,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day7,0.090709,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day14,2.001076,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day21,1.452399,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day28,10.30928,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day35,8.494105,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day42,8.283527,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day49,11.69714,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day56,12.11321,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day63,10.64214,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day70,11.1376,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day77,9.777461,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day84,15.3142,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day125,4.448494,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_12,Day139,4.965694,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
